"","model 1","model 2","model 3","model 4","model 5","model 6","model 7","model 8","model 9","model 10","model 11","model 12","model 13","model 14","model 15","model 16","model 17","model 18","model 19","model 20","model 21","model 22","model 23","model 24","model 25","model 26","model 27","model 28","model 29","model 30","model 31","model 32","model 33","model 34","model 35","model 36","model 37","model 38","model 39","model 40"
"Dependent Var.:","total_dot","total_dot","total_dot","total_dot","total_dot","total_dot","total_dot","total_dot","outpatient_count","outpatient_count","outpatient_count","outpatient_count","outpatient_count","outpatient_count","outpatient_count","outpatient_count","chronic","chronic","chronic","chronic","chronic","chronic","chronic","chronic","major","major","major","major","major","major","major","major","md","md","md","md","md","md","md","md"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"int","-94.75 (229.9)","-97.09 (231.1)","  ","  ","  ","  ","  ","  ","-0.0622. (0.0318)","-0.0743* (0.0308)","  ","  ","  ","  ","  ","  ","-0.0004 (0.0008)","-0.0003 (0.0008)","  ","  ","  ","  ","  ","  ","-0.0007 (0.0007)","-0.0006 (0.0007)","  ","  ","  ","  ","  ","  ","-0.0024*** (0.0007)","-0.0025*** (0.0007)","  ","  ","  ","  ","  ","  "
"second","-820.2*** (162.4)","-332.3 (280.9)","-886.3*** (116.9)","-392.9 (244.1)","-855.1*** (120.7)","-368.9 (248.8)","-855.1*** (120.7)","-371.9 (248.6)","-0.6366*** (0.0206)","-0.2409*** (0.0349)","-0.6623*** (0.0160)","-0.2748*** (0.0326)","-0.6529*** (0.0165)","-0.2709*** (0.0328)","-0.6529*** (0.0165)","-0.2710*** (0.0328)","-0.0175*** (0.0005)","-0.0046*** (0.0009)","-0.0177*** (0.0004)","-0.0047*** (0.0008)","-0.0176*** (0.0004)","-0.0046*** (0.0008)","-0.0176*** (0.0004)","-0.0046*** (0.0008)","-0.0078*** (0.0004)","-0.0006 (0.0008)","-0.0082*** (0.0003)","-0.0009 (0.0007)","-0.0082*** (0.0004)","-0.0009 (0.0007)","-0.0082*** (0.0004)","-0.0009 (0.0007)","-0.0049*** (0.0004)","0.0020* (0.0008)","-0.0060*** (0.0004)","0.0009 (0.0008)","-0.0059*** (0.0004)","0.0009 (0.0008)","-0.0059*** (0.0004)","0.0009 (0.0008)"
"tb_disab","43.54 (0.5)","1,807.2 (384,822,507.1)","  ","  ","  ","  ","  ","  ","-0.2974 (442,446.4)","1.424 (51,086.6)","  ","  ","  ","  ","  ","  ","-0.1892 (14,585.1)","-2.157 (1,321.5)","  ","  ","  ","  ","  ","  ","-0.0919 (11,254.9)","-2.647 (1,163.4)","  ","  ","  ","  ","  ","  ","0.1207 (10,497.5)","-0.5270 (1,198.7)","  ","  ","  ","  ","  ","  "
"male","  ","-480.4** (177.3)","  ","-480.2** (177.3)","  ","-480.3** (177.3)","  ","-480.4** (177.3)","  ","-3.405*** (0.0232)","  ","-3.405*** (0.0232)","  ","-3.405*** (0.0232)","  ","-3.405*** (0.0232)","  ","0.0102*** (0.0006)","  ","0.0102*** (0.0006)","  ","0.0102*** (0.0006)","  ","0.0102*** (0.0006)","  ","-0.0012* (0.0005)","  ","-0.0012* (0.0005)","  ","-0.0012* (0.0005)","  ","-0.0012* (0.0005)","  ","-0.0072*** (0.0005)","  ","-0.0072*** (0.0005)","  ","-0.0072*** (0.0005)","  ","-0.0072*** (0.0005)"
"int_by_5","  ","  ","1,002.1. (597.3)","1,083.2. (593.7)","970.9 (598.0)","1,030.2. (595.3)","  ","  ","  ","  ","-0.1829* (0.0848)","-0.0684 (0.0848)","-0.1922* (0.0848)","-0.0770 (0.0850)","  ","  ","  ","  ","0.0005 (0.0023)","-0.0007 (0.0023)","0.0004 (0.0023)","-0.0008 (0.0023)","  ","  ","  ","  ","0.0029 (0.0020)","0.0025 (0.0021)","0.0029 (0.0020)","0.0025 (0.0021)","  ","  ","  ","  ","-0.0013 (0.0021)","-0.0015 (0.0021)","-0.0014 (0.0021)","-0.0017 (0.0021)","  ","  "
"tb_disab_by_5","  ","  ","-503.0 (0.8)","-4,748.4 (1,622,685,669.0)","-616.1 (0.4)","2,821.9 (1,625,205,822.7)","  ","  ","  ","  ","-0.1761 (390,299.9)","-2.120 (162,304.8)","-0.2100 (390,299.9)","-0.1116 (196,405.1)","  ","  ","  ","  ","-0.1671 (13,025.5)","3.606 (4,483.9)","-0.1674 (13,025.5)","0.1347 (5,185.8)","  ","  ","  ","  ","-0.0840 (10,178.3)","4.144 (3,955.8)","-0.0841 (10,178.3)","-0.1906 (4,612.0)","  ","  ","  ","  ","0.1071 (9,358.1)","-2.705 (3,976.2)","0.1067 (9,358.1)","-4.471 (4,687.9)","  ","  "
"int_in_5_10","  ","  ","  ","  ","-702.1 (444.2)","-651.6 (440.8)","  ","  ","  ","  ","  ","  ","-0.2103** (0.0724)","-0.1054 (0.0715)","  ","  ","  ","  ","  ","  ","-0.0017 (0.0017)","-0.0019 (0.0018)","  ","  ","  ","  ","  ","  ","-0.0003 (0.0016)","-0.0004 (0.0016)","  ","  ","  ","  ","  ","  ","-0.0022 (0.0016)","-0.0017 (0.0017)","  ","  "
"tb_disab_in_5_10","  ","  ","  ","  ","  ","-1,771.2 (79,511,560.5)","  ","  ","  ","  ","  ","  ","  ","-0.3950 (13,530.0)","  ","  ","  ","  ","  ","  ","  ","0.4785 (339.1)","  ","  ","  ","  ","  ","  ","  ","0.5997 (300.7)","  ","  ","  ","  ","  ","  ","  ","0.2426 (312.7)","  ","  "
"int_by_10","  ","  ","  ","  ","  ","  ","-155.5 (366.1)","-118.5 (367.1)","  ","  ","  ","  ","  ","  ","-0.2044*** (0.0571)","-0.0964. (0.0574)","  ","  ","  ","  ","  ","  ","-0.0010 (0.0014)","-0.0016 (0.0014)","  ","  ","  ","  ","  ","  ","0.0007 (0.0013)","0.0005 (0.0013)","  ","  ","  ","  ","  ","  ","-0.0020 (0.0013)","-0.0017 (0.0014)"
"tb_disab_by_10","  ","  ","  ","  ","  ","  ","76.80 (1,490,554,193.4)","-427.6 (64,665,398.1)","  ","  ","  ","  ","  ","  ","-0.0654 (231,534.4)","-0.3413 (9,182.3)","  ","  ","  ","  ","  ","  ","-0.0991 (7,671.2)","0.3801 (235.6)","  ","  ","  ","  ","  ","  ","-0.0491 (5,941.7)","0.4733 (207.6)","  ","  ","  ","  ","  ","  ","0.0641 (5,506.0)","0.1144 (214.8)"
"Fixed-Effects:","-----------------","-----------------------","-----------------","--------------------------","-----------------","-------------------------","-----------------------","---------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-----------------","-------------------","-----------------","-------------------","-----------------","-------------------","-----------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------"
"family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"birth_year","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes"
"birth_month","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes"
"________________","_________________","_______________________","_________________","__________________________","_________________","_________________________","_______________________","_____________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","_________________","___________________","_________________","___________________","_________________","___________________","_________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________"
"S.E.: Clustered","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family"
"Observations","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552","6,634,552"
"R2","0.40810","0.40815","0.40810","0.40815","0.40810","0.40815","0.40810","0.40815","0.34017","0.35494","0.34017","0.35494","0.34018","0.35494","0.34018","0.35494","0.20854","0.20886","0.20854","0.20886","0.20854","0.20886","0.20854","0.20886","0.21661","0.21669","0.21661","0.21669","0.21661","0.21669","0.21661","0.21669","0.23787","0.23806","0.23787","0.23805","0.23787","0.23805","0.23787","0.23805"
"Within R2","0.00010","1.91e-5","0.00011","2.2e-5","0.00011","2.44e-5","0.00010","1.89e-5","0.00189","0.02219","0.00189","0.02219","0.00189","0.02219","0.00189","0.02219","0.00123","0.00020","0.00123","0.00020","0.00123","0.00020","0.00123","0.00020","0.00039","5.14e-6","0.00039","5.41e-6","0.00039","5.46e-6","0.00039","4.76e-6","0.00023","0.00015","0.00022","0.00014","0.00022","0.00014","0.00022","0.00014"
